FREQ,Re(V(N_B)),Im(V(N_B)),Re(V(N_S)),Im(V(N_S)),Re(V(N_C)),Im(V(N_C)),Re(V(N_E_FORCED)),Im(V(N_E_FORCED)),Re(V(N_E)),Im(V(N_E)),Re(V(N_CX)),Im(V(N_CX)),Re(V(N_BX)),Im(V(N_BX)),Re(V(N_EX)),Im(V(N_EX)),Re(V(N_C_FORCED)),Im(V(N_C_FORCED)),Re(V(N_TNODE)),Im(V(N_TNODE)),Re(V(N_B_FORCED)),Im(V(N_B_FORCED)),Re(V(N_SX)),Im(V(N_SX)),Re(I(VV_B)),Im(I(VV_B)),Re(I(VV_C)),Im(I(VV_C)),Re(I(VV_E)),Im(I(VV_E)),Re(I(RI_S)),Im(I(RI_S)),Re(I(RI_B)),Im(I(RI_B)),Re(I(RI_E)),Im(I(RI_E)),Re(I(RI_C)),Im(I(RI_C))
1.00000000e+08,1.00000000e+00,1.80938222e-22,1.00000000e+00,5.61773862e-29,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,5.61773862e-29,-1.13686838e-13,1.80938222e-19,1.93647865e-14,-1.19209290e-07,0.00000000e+00,1.12354772e-29,1.37492581e-25,-1.12354772e-29,1.13686838e-13,-1.80938222e-19,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,1.80938222e-23,1.00000000e+00,1.53546097e-32,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.53546097e-32,-1.13686838e-13,1.80938222e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.07092193e-33,3.75799776e-30,-3.07092193e-33,1.13686838e-13,-1.80938222e-20,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,1.80938222e-22,1.00000000e+00,5.61773862e-29,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,5.61773862e-29,-1.13686838e-13,1.80938222e-19,1.93647865e-14,-1.19209290e-07,0.00000000e+00,1.12354772e-29,1.37492581e-25,-1.12354772e-29,1.13686838e-13,-1.80938222e-19,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,1.80938222e-23,1.00000000e+00,1.53546097e-32,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.53546097e-32,-1.13686838e-13,1.80938222e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.07092193e-33,3.75799776e-30,-3.07092193e-33,1.13686838e-13,-1.80938222e-20,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,1.80938222e-22,1.00000000e+00,-1.55263948e-28,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-1.55263948e-28,-1.13686838e-13,1.80938222e-19,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-3.10527896e-29,-3.95908148e-25,3.10527896e-29,1.13686838e-13,-1.80938222e-19,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,1.80938222e-23,1.00000000e+00,1.35525023e-19,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.35525023e-19,-1.13686838e-13,1.80938222e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71050046e-20,-8.46048685e-23,-2.71050046e-20,1.13686838e-13,-1.80938222e-20,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,1.80938222e-22,1.00000000e+00,-1.55263948e-28,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-1.55263948e-28,-1.13686838e-13,1.80938222e-19,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-3.10527896e-29,-3.95908148e-25,3.10527896e-29,1.13686838e-13,-1.80938222e-19,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,1.80938222e-23,1.00000000e+00,1.35525023e-19,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.35525023e-19,-1.13686838e-13,1.80938222e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71050046e-20,-8.46048685e-23,-2.71050046e-20,1.13686838e-13,-1.80938222e-20,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,-1.80938222e-22,1.00000000e+00,-8.47032957e-21,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-8.47032957e-21,1.13686838e-13,-1.80938222e-19,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-1.69406591e-21,-1.26251511e-25,1.69406591e-21,-1.13686838e-13,1.80938222e-19,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-1.80938222e-23,1.00000000e+00,1.35525195e-19,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.35525195e-19,1.13686838e-13,-1.80938222e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71050389e-20,-4.08182154e-23,-2.71050389e-20,-1.13686838e-13,1.80938222e-20,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,-1.80938222e-22,1.00000000e+00,-8.47032957e-21,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-8.47032957e-21,1.13686838e-13,-1.80938222e-19,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-1.69406591e-21,-1.26251511e-25,1.69406591e-21,-1.13686838e-13,1.80938222e-19,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-1.80938222e-23,1.00000000e+00,1.35525195e-19,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.35525195e-19,1.13686838e-13,-1.80938222e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71050389e-20,-4.08182154e-23,-2.71050389e-20,-1.13686838e-13,1.80938222e-20,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,1.01429967e-33,1.00000000e+00,-8.47032943e-21,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-8.47032943e-21,-6.37303280e-25,1.01429967e-30,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-1.69406589e-21,2.46482010e-25,1.69406589e-21,6.37303280e-25,-1.01429967e-30,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-5.79658656e-33,1.00000000e+00,1.35525200e-19,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.35525200e-19,3.64210275e-23,-5.79658656e-30,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71050400e-20,-3.94370917e-23,-2.71050400e-20,-3.64210275e-23,5.79658656e-30,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,1.01429967e-33,1.00000000e+00,-8.47032943e-21,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-8.47032943e-21,-6.37303280e-25,1.01429967e-30,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-1.69406589e-21,2.46482010e-25,1.69406589e-21,6.37303280e-25,-1.01429967e-30,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-5.79658656e-33,1.00000000e+00,1.35525200e-19,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.35525200e-19,3.64210275e-23,-5.79658656e-30,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71050400e-20,-3.94370917e-23,-2.71050400e-20,-3.64210275e-23,5.79658656e-30,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,2.06121102e-33,1.00000000e+00,-8.47032943e-21,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-8.47032943e-21,-1.29509708e-24,2.06121102e-30,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-1.69406589e-21,2.38751497e-25,1.69406589e-21,1.29509708e-24,-2.06121102e-30,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,1.43612566e-32,1.00000000e+00,-3.36477977e-26,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-3.36477977e-26,-9.02344363e-23,1.43612566e-29,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.72955954e-27,-9.51747539e-24,6.72955954e-27,9.02344363e-23,-1.43612566e-29,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,2.06121102e-33,1.00000000e+00,-8.47032943e-21,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-8.47032943e-21,-1.29509708e-24,2.06121102e-30,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-1.69406589e-21,2.38751497e-25,1.69406589e-21,1.29509708e-24,-2.06121102e-30,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,1.43612566e-32,1.00000000e+00,-3.36477977e-26,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-3.36477977e-26,-9.02344363e-23,1.43612566e-29,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.72955954e-27,-9.51747539e-24,6.72955954e-27,9.02344363e-23,-1.43612566e-29,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,-1.35635578e-33,1.00000000e+00,-3.96373294e-29,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-3.96373294e-29,8.52223468e-25,-1.35635578e-30,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-7.92746588e-30,-1.15492077e-25,7.92746588e-30,-8.52223468e-25,1.35635578e-30,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
